(-0.0402892,-0.0407788)
(0.0231524,0.0148239)
(-0.041398,-0.0402896)
(0.0148084,0.0227817)
(0.0164148,0.0257732)
(0.0257845,0.0161345)
(0.0227895,0.0146144)
(-0.0261919,-0.0164947)
(-0.0144402,-0.0223803)
(-0.0166804,-0.0262592)
(0.0413227,0.0405548)
(0.0502209,0.0179374)
(-0.0262795,-0.00304955)
(0.0501766,0.0178408)
(-0.0259412,-0.00299093)
(0.0165921,-0.0256112)
(-0.0404117,0.0402912)
(0.0231307,-0.0145854)
(-0.0415216,0.0398957)
(0.0257262,-0.0158717)
(0.0149326,-0.0226126)
(-0.016796,0.0259485)
(0.0218613,-0.0558581)
(0.00503949,-0.0289814)
(-0.0219539,0.0559287)
(0.0051021,-0.0292677)
(0.0227168,-0.0143448)
(-0.0260444,0.0161398)
(0.0413637,-0.0399391)
(0.014665,-0.0222961)
(0.049965,-0.017525)
(-0.0261635,0.00291202)
(0.0499637,-0.0174446)
(-0.0257183,0.00284814)
(0.0386301,0.0601)
(0.000587911,0.000610269)
(-0.0610981,-0.0383797)
(0.0615699,0.0378297)
(0.000491589,0.000651928)
(-0.0399949,-0.0612604)
(0.0390599,0.0605111)
(5.54274e-05,0.000337115)
(0.0117309,0.0686153)
(0.000766453,0.0023732)
(-0.0118133,-0.0702252)
(0.060269,0.0378527)
(0.0614094,0.0376292)
(-0.000582885,-0.000464745)
(0.0391861,0.0594623)
(0.000635909,8.55875e-05)
(-0.0696766,-0.00719978)
(-0.00198634,-0.000575899)
(0.0701296,0.00727338)
(-0.0389789,0.0613063)
(0.00112826,-0.00104424)
(0.0596539,-0.038336)
(-0.0630326,0.0388852)
(0.00129511,-0.00098674)
(0.0396977,-0.0607331)
(-0.0383792,0.0606778)
(-0.000595944,0.00188083)
(-4.38068e-05,0.000465946)
(0.0115802,-0.0698029)
(-0.011568,0.0704962)
(-0.0597167,0.0389174)
(-0.0601122,0.0383212)
(0.000432455,-0.000182944)
(-0.0394506,0.0612377)
(-0.0061821,0.00164453)
(0.070272,-0.00849985)
(0.000128164,-1.48613e-05)
(-0.0641513,0.00970554)
(0.0259054,-0.00631475)
(-0.0560753,0.00392224)
(0.0286209,-0.00763147)
(0.0208224,-0.0141784)
(-0.0400455,0.0402664)
(0.0248906,-0.0175974)
(-0.026104,-0.00286608)
(0.0505146,0.0153577)
(0.025828,0.00317501)
(-0.0481779,0.021498)
(0.0249084,-0.00608635)
(0.0307591,0.00350131)
(-0.0225737,-0.0112032)
(0.0459786,0.0349395)
(0.0270001,0.0140955)
(0.0497321,-0.0227256)
(-0.0300302,0.0070534)
(0.0587351,0.0159727)
(-0.0231029,-0.0020789)
(0.0410207,-0.0532061)
(0.00157373,-0.00140134)
(-0.0611464,0.0332303)
(0.0603028,-0.0326773)
(0.00177228,-0.00170644)
(-0.0431135,0.0561289)
(0.0453946,-0.0577791)
(-0.000225501,-0.00110854)
(0.0190915,-0.0684701)
(0.00109474,-0.00211404)
(-0.0183657,0.0638335)
(0.0589713,-0.0316115)
(-0.0046193,0.00456198)
(0.0398257,-0.0490395)
(0.0581375,-0.0297678)
(-0.000319902,0.00025049)
(-0.0669668,0.00414413)
(-0.00233975,0.000669413)
(0.0671339,-0.00392729)
(-0.018638,0.0264031)
(0.0408817,-0.0374954)
(-0.0215492,0.0125205)
(0.0420948,-0.0383751)
(-0.0144021,0.0203769)
(-0.0266161,0.015421)
(0.0156107,-0.0213411)
(0.0237175,-0.0550846)
(-0.00577945,0.0273679)
(-0.0252849,0.0544576)
(-0.00754487,0.0329211)
(-0.0231859,0.0134469)
(0.0228449,-0.0126178)
(-0.0404697,0.0342883)
(-0.0180206,0.0235226)
(-0.0481047,0.0150553)
(0.0251735,-0.00215012)
(-0.0493661,0.0157017)
(0.0256189,-0.00220788)
(-0.000517671,-0.000653421)
(-0.0611365,-0.0377563)
(0.0398305,0.0611086)
(-0.0384301,-0.0599821)
(-0.000737018,-0.000735006)
(0.0608406,0.0384399)
(-0.00207841,-0.00399235)
(-0.0289227,-0.0403379)
(0.0177381,0.0527343)
(-0.00987186,0.0511319)
(0.000253846,-0.00341708)
(-0.00543565,-0.0520807)
(-0.0461761,0.0632011)
(0.0458986,-0.0806962)
(-0.00343792,0.0118878)
(-0.0194965,0.0879306)
(-0.0078662,0.0835894)
(0.00460074,-0.00780859)
(0.039945,-0.0549311)
(0.0103075,-0.0178053)
(-0.00631364,0.0696595)
(-0.00562533,0.0257258)
(0.0226786,-0.0908585)
(0.0417332,-0.0800762)
(0.0432147,-0.0359304)
(0.0507851,-0.00424331)
(-0.00236187,0.00133648)
(-0.00441891,-0.000152521)
(-0.0442636,0.0207509)
(-0.0516466,-0.0091667)
(-0.000591093,-0.00476914)
(-0.013141,-0.051167)
(-0.0155051,0.054841)
(-0.00215435,0.00462652)
(-0.0267617,0.0415814)
(-0.00231623,0.0534695)
(-0.0293389,-0.079271)
(-0.00536028,-0.0166255)
(0.0140597,0.0663834)
(0.0428732,0.0521105)
(0.0097161,0.0142743)
(0.0439683,0.0725633)
(0.0691614,-0.0107312)
(0.105915,-0.0378263)
(-0.0550934,0.0205593)
(-0.0872294,0.0146273)
(-0.0407239,0.0118907)
(-0.0288147,0.00711624)
(-0.0236927,-0.000452033)
(0.0714807,0.00862781)
(0.0255916,-0.00160986)
(0.0932735,0.007469)
(0.0970031,-0.0113812)
(0.0209637,-0.00739301)
(-0.103954,0.0484151)
(-0.0367634,0.0164472)
(-0.0803371,0.0412935)
(0.0709645,-0.0222848)
(-0.0713462,0.0115506)
(-0.068793,-0.00812069)
(0.022649,0.00174973)
(-0.0947763,-0.00186889)
(-0.0924182,0.0058257)
(0.0232563,-0.00274051)
(0.0766856,-0.0292348)
(-0.0908326,0.0259013)
(-0.019272,0.00336174)
(-0.0984822,0.0245661)
(0.0671224,-0.0084555)
(0.0946668,-0.0301991)
(-0.0538494,0.0182528)
(-0.0306008,0.00818381)
(-0.0835844,0.01205)
(-0.0270232,0.00576651)
(-0.0236457,-0.00110419)
(0.0693871,0.0101747)
(0.0228703,-0.000838896)
(0.0907281,0.00934814)
(0.0926914,-0.00798903)
(0.0231107,-0.00741935)
(-0.033332,0.0139158)
(0.0677551,-0.0325296)
(-0.0946658,0.0405267)
