(0.0561032,-0.0137894)
(-0.0260977,0.00899719)
(0.056432,-0.0143522)
(-0.0269274,0.00428422)
(-0.0303082,0.00470391)
(-0.0288407,0.0100803)
(-0.0257018,0.00885232)
(0.029363,-0.0102239)
(0.0263992,-0.0041627)
(0.03086,-0.00477412)
(-0.0565866,0.0142881)
(-0.0490073,0.0221706)
(0.0230881,-0.0131619)
(-0.0489253,0.022168)
(0.0227841,-0.0129977)
(-0.0302531,-0.0047939)
(0.0558048,0.0138988)
(-0.0259324,-0.00902257)
(0.0562121,0.0144534)
(-0.0286349,-0.010092)
(-0.0268419,-0.00435238)
(0.0306452,0.00485094)
(-0.0602212,-0.00449007)
(-0.0295034,0.000234597)
(0.0603206,0.00452257)
(-0.0297977,0.000231737)
(-0.0254799,-0.0088576)
(0.0290343,0.0102061)
(-0.0561438,-0.0143758)
(-0.0264359,-0.00426618)
(-0.048603,-0.0221248)
(0.0229477,0.0131403)
(-0.048564,-0.0221414)
(0.0225518,0.0129203)
(-0.0710246,0.0111475)
(-0.000831163,0.000199752)
(0.0686211,-0.0239294)
(-0.0686195,0.0242421)
(-0.000784393,0.000146534)
(0.0727147,-0.0116304)
(-0.071583,0.0112933)
(-0.0003302,-4.81125e-06)
(-0.0699752,-0.000637846)
(-0.00250107,0.000123998)
(0.0715786,0.000730793)
(-0.0676861,0.0236056)
(-0.068369,0.0241916)
(0.000734424,-0.000218118)
(-0.0707549,0.0114446)
(-0.000565737,0.000316405)
(0.0611293,-0.0352666)
(0.00188653,-0.000910522)
(-0.0615327,0.0354866)
(0.0722312,0.011187)
(-0.00149853,-0.00039747)
(-0.0675342,-0.0232308)
(0.0703358,0.0247899)
(-0.00158268,-0.000486092)
(-0.0721123,-0.0115505)
(0.0713981,0.0109875)
(0.00197615,9.34128e-05)
(0.000448005,-1.98869e-05)
(-0.0711233,0.000792007)
(0.0718038,-0.000851298)
(0.0679229,0.0231657)
(0.0678225,0.0234433)
(-0.000428809,-0.000181588)
(0.0724221,0.0113983)
(0.00579596,0.00286274)
(-0.0619978,-0.0351802)
(-0.000117479,-6.62673e-05)
(0.0571825,0.0315322)
(0.0270466,-0.0026605)
(-0.0567992,0.00162662)
(0.0299853,-0.00321448)
(0.024908,-0.0062316)
(-0.0544481,0.0182337)
(0.0300721,-0.00775209)
(-0.0267383,-0.00120004)
(0.0529772,0.0064423)
(0.0264557,0.00132803)
(-0.052547,0.00913271)
(0.0259806,-0.00256128)
(0.0314963,0.0014636)
(-0.0252471,-0.00482641)
(0.0563256,0.015372)
(0.0304225,0.00607986)
(0.0543763,-0.00965558)
(-0.0311633,0.00295986)
(0.0611644,0.00668547)
(-0.0235915,-0.000868406)
(-0.0663484,-0.0128114)
(-0.00205409,-0.000562423)
(0.0655106,0.0247623)
(-0.0645655,-0.0244416)
(-0.00239145,-0.000613707)
(0.0698993,0.0134437)
(-0.0724812,-0.0142778)
(-0.000899164,0.000188676)
(-0.0714362,-0.00235487)
(-0.00237986,-0.000280624)
(0.0666794,0.00242238)
(-0.0629317,-0.0239567)
(0.00632719,0.00158933)
(-0.0622755,-0.0126966)
(-0.0612116,-0.023845)
(0.0003653,0.000106966)
(0.0579429,0.0347445)
(0.00221563,0.00107372)
(-0.058019,-0.0348992)
(0.0319578,0.0056003)
(-0.0539938,-0.0144318)
(0.0235021,0.00857065)
(-0.055448,-0.0148941)
(0.0246576,0.00432717)
(0.0290206,0.0105995)
(-0.0261009,-0.00476026)
(-0.0601521,-0.00531709)
(0.0280552,0.000190463)
(0.0601584,0.00601647)
(0.033893,0.000468933)
(0.0252748,0.00922625)
(-0.0245286,-0.00919323)
(0.0513632,0.0146199)
(0.0292057,0.00560129)
(0.045939,0.0216911)
(-0.0218847,-0.0128389)
(0.0472758,0.0222122)
(-0.0222793,-0.013061)
(0.000801737,-0.000158242)
(0.0682514,-0.0240401)
(-0.072501,0.0115733)
(0.070823,-0.0110722)
(0.00101846,-0.0002536)
(-0.0684664,0.0237932)
(-0.000718077,0.00431438)
(-0.00534078,0.050081)
(0.0128943,-0.0555052)
(0.022452,-0.0477559)
(-0.00123261,0.00298756)
(-0.0167528,0.0507853)
(-0.0742467,-0.0260338)
(0.0896578,0.0268091)
(-0.0121103,-0.00238008)
(-0.0896427,-0.015201)
(-0.0840083,-0.00987487)
(0.00862993,0.00264127)
(0.0644228,0.0225225)
(0.0197245,0.00596522)
(-0.0699784,-0.00812563)
(-0.0260572,-0.00438635)
(0.0930598,0.0168192)
(0.0875855,0.0247599)
(9.40812e-05,0.0571)
(-0.012851,0.0506292)
(0.000218056,-0.00302822)
(0.00137961,-0.00451956)
(0.00515053,-0.0498228)
(0.0185041,-0.0499536)
(0.00185092,0.00424154)
(0.0239857,0.0478872)
(-0.0143499,-0.0565931)
(-0.000906568,-0.00490378)
(-0.00634688,-0.0497776)
(-0.0184182,-0.0514872)
(-0.0830351,0.0189053)
(-0.0171031,0.00358154)
(0.0672944,-0.0111441)
(0.0633947,-0.0239203)
(0.0163805,-0.0054933)
(0.0815772,-0.025403)
(0.0495515,-0.0495794)
(0.0731779,-0.0855528)
(-0.0380023,0.0449541)
(-0.0622964,0.0629584)
(-0.0283809,0.0316014)
(-0.0202299,0.0217606)
(-0.0179201,0.0155512)
(0.0564174,-0.0450023)
(0.0188259,-0.0174791)
(0.0723578,-0.0596954)
(0.070225,-0.068156)
(0.0144775,-0.0168699)
(-0.0712235,0.089987)
(-0.0252097,0.0314466)
(-0.0549439,0.0717426)
(0.0492889,-0.0558048)
(-0.051016,0.0513203)
(-0.054214,0.0433401)
(0.0175138,-0.0144828)
(-0.0718088,0.062283)
(-0.0680194,0.0631602)
(0.0168084,-0.0163199)
(0.0528383,-0.062872)
(-0.0633811,0.0702077)
(-0.0137232,0.0139437)
(-0.0691526,0.0745277)
(0.048452,-0.0473546)
(0.0657086,-0.0746735)
(-0.03728,0.0430024)
(-0.0214079,0.0233943)
(-0.0600419,0.0595481)
(-0.0190952,0.020009)
(-0.0180751,0.0153307)
(0.0554022,-0.0432534)
(0.0169649,-0.0154158)
(0.0710677,-0.0575247)
(0.0677046,-0.0640687)
(0.0160249,-0.0182389)
(-0.0228997,0.0279686)
(0.0463855,-0.0591892)
(-0.0649943,0.0799814)
(-0.044972,0.0495435)
(-0.0472657,0.0467253)
(0.0425756,-0.049783)
(-0.0610023,0.0671688)
(-0.0212932,0.0216317)
(0.0660454,-0.069449)
(-0.0711318,0.0603493)
(0.0684374,-0.0627787)
(-0.052361,0.0410939)
(0.0207912,-0.0169916)
(0.0190599,-0.018154)
(-0.0525975,0.0523842)
(-0.0628707,0.072347)
(0.0512093,-0.0609901)
(0.0682918,-0.069722)
(0.0144232,-0.0160896)
(0.0124065,-0.0130044)
(0.0167306,-0.0142723)
(-0.0576209,0.0454155)
(-0.015649,0.014404)
(-0.0743535,0.0610402)
(-0.0683558,0.0654531)
(-0.0236851,0.0273717)
(0.0682521,-0.0837834)
(-0.0120492,0.0153863)
(-0.0456577,0.050315)
(0.0469095,-0.0465838)
(0.0690799,-0.0636192)
(-0.0209565,0.0171699)
(0.0528099,-0.0415618)
(0.0709336,-0.0604089)
(-0.0192843,0.0184982)
(0.0683395,-0.0761212)
(0.0220173,-0.0224791)
(-0.0367548,0.0433153)
(0.0608332,-0.0639451)
(0.019616,-0.00134981)
(-0.0684666,0.0082024)
(-0.096422,0.00451683)
(0.0938606,0.00649771)
(-0.0761453,-0.0110351)
(-0.0252092,-0.00174799)
(0.094696,-0.00571482)
(-0.0143471,0.00278542)
(-0.0731554,0.0179571)
(0.09321,-0.0171239)
(0.0802035,5.76906e-05)
(0.0829622,-0.00984129)
(0.0908387,0.0135177)
(-0.00306426,0.000469332)
(-0.0118014,-0.000738243)
(0.0948017,0.00874626)
(0.0904885,-0.027227)
(0.0913612,-0.0155504)
(0.0737177,-0.0259663)
(-0.0105122,0.00317664)
(0.0210516,-0.00639802)
(0.0863519,-0.0357826)
(0.0656,-0.0310462)
(0.016757,-0.0070328)
(0.0270058,-0.00463365)
(-0.0636369,0.0224142)
(-0.0874195,0.0249927)
(-0.0500685,0.0490628)
(-0.0582595,0.0659776)
(0.0428298,-0.0493009)
(0.0121462,-0.0131644)
(0.0647249,-0.0648468)
(0.0181661,-0.0190577)
(0.0177509,-0.0150093)
(-0.0561035,0.0437199)
(-0.0160758,0.01461)
(-0.0724932,0.0587701)
(-0.0674552,0.0638082)
(-0.019131,0.0219013)
(0.0253274,-0.0310825)
(-0.0364899,0.0462951)
(0.0676622,-0.0834676)
(0.0453104,-0.049833)
(0.0478447,-0.0470542)
(0.0164064,-0.0164034)
(-0.0468029,0.0547036)
(0.0649142,-0.0709656)
(-0.0656905,0.0688689)
(-0.0678702,0.0617865)
(-0.020112,0.0162864)
(0.0522675,-0.0407471)
(0.0710305,-0.0599591)
(-0.0185174,0.0175627)
(0.0931341,-0.00605504)
(0.0804369,-0.00995136)
(0.0908544,0.0125201)
(0.0111884,0.000594899)
(-0.00164612,0.000497014)
(-0.0918023,-0.00741091)
(0.014064,-0.00278366)
(0.0193944,-0.00138621)
(-0.0921836,0.0170294)
(0.0718505,-0.0177173)
(-0.0794545,0.000291457)
(0.0889476,-0.0268325)
(0.0888184,-0.0155541)
(0.0716105,-0.0252167)
(-0.0113813,0.00342797)
(-0.0678987,0.00820355)
(-0.0959919,0.00455512)
(-0.0932687,-0.00612877)
(-0.0759689,-0.0107901)
(0.0251585,0.00170822)
(0.0208089,-0.00632218)
(0.0268631,-0.0046097)
(-0.0628319,0.0220373)
(-0.0866622,0.0246674)
(0.0853786,-0.0352226)
(0.0644498,-0.0303458)
(0.0169584,-0.00709642)
(0.0525905,0.0535123)
(0.0690875,0.0818525)
(-0.0481592,-0.0580809)
(-0.0212457,-0.0240266)
(-0.0696877,-0.0721282)
(-0.0168464,-0.0182781)
(0.0572396,0.0462175)
(-0.0171602,-0.015001)
(0.0749667,0.0628062)
(0.0187695,0.0176452)
(0.0708616,0.0696137)
(0.0105281,0.0121934)
(-0.0677524,-0.0850941)
(-0.0189382,-0.0240431)
(-0.0552504,-0.0723316)
(0.0515813,0.0587306)
(-0.050935,-0.0511185)
(-0.07147,-0.0621914)
(-0.0537503,-0.0430404)
(-0.0661085,-0.0611304)
(0.0174413,0.0143904)
(0.0152048,0.0147656)
(0.0523522,0.0616806)
(-0.0595343,-0.0651646)
(-0.0123387,-0.0124453)
(-0.0669316,-0.0721384)
(0.052714,0.052302)
(0.0634765,0.0730402)
(-0.0493432,-0.0582836)
(-0.0150571,-0.0167242)
(-0.0671769,-0.068252)
(-0.013382,-0.0140675)
(-0.0157368,-0.0133685)
(0.0578201,0.0453941)
(0.0153087,0.0140575)
(0.0734505,0.0600629)
(0.0682156,0.0651047)
(0.0112084,0.0126561)
(-0.00833652,-0.0101406)
(0.0494523,0.0627295)
(-0.054204,-0.0657145)
(-0.048385,-0.0533973)
(-0.0476053,-0.0467448)
(0.0415159,0.0479001)
(-0.05669,-0.061469)
(-0.0191155,-0.0192104)
(0.0625035,0.0654055)
(-0.0526618,-0.0411537)
(0.0196268,0.0159302)
(-0.0701927,-0.0594171)
(0.0659129,0.0599335)
(0.0161524,0.0153228)
(0.0348876,0.040766)
(-0.0680494,-0.0788388)
(0.0244206,0.0269207)
(0.0607245,0.0609278)
(-0.0481095,-0.0477607)
(0.0220898,0.0236617)
(0.0499583,0.0501185)
(0.068663,0.0636232)
(0.0532847,0.042394)
(-0.0190134,-0.0156685)
(0.0722159,0.0622916)
(-0.0183486,-0.0177525)
(0.0240876,0.00448186)
(-0.0704215,-0.0096058)
(-0.0639935,-0.0233544)
(0.0906898,0.0183472)
(-0.0181936,-0.00586384)
(-0.0864094,-0.0256974)
(-0.0482347,-0.046546)
(0.0363434,0.0414376)
(-0.0638161,-0.0717009)
(0.0196528,0.0212581)
(-0.0587646,-0.0575884)
(0.0188619,0.019553)
(-0.0703595,-0.0560911)
(-0.0558023,-0.0428559)
(0.0176179,0.0147408)
(-0.0157812,-0.0141657)
(-0.0669189,-0.0625056)
(0.0832596,0.00943376)
(0.0927651,-0.0141761)
(0.00018118,-0.000365217)
(0.0934822,0.00511152)
(0.00908145,-0.000547689)
(-0.0923102,0.00876854)
(0.0890103,0.0146379)
(0.073392,0.025229)
(0.0124674,0.00238717)
(-0.0889786,-0.0260996)
(-0.00858674,-0.00257545)
(-0.0774567,0.0117575)
(0.0182496,0.00118272)
(0.0938135,-0.00710977)
(-0.0964736,-0.00404476)
(0.069057,0.00792043)
(0.0246512,-0.0018228)
(0.000636939,0.0113876)
(0.0064555,-0.071354)
(-0.00903794,-0.0832894)
(0.0127553,0.072267)
(0.0143397,-0.0941603)
(0.0015791,-0.00148242)
(-0.00285956,-0.0146316)
(-0.0025924,0.0880135)
(0.0170322,0.0710114)
(0.0251903,0.0811634)
(-0.0021684,-0.0733831)
